"CU_ID","Species","Stock","Label","Year","Metric","Value","LBM","UBM","Status","Data_Type"
"Case1","Sockeye","Sockeye_CU_A","SpnForAbd_Wild",1995,"RelAbd",2886.69706033396,4958,17838,"Red","Abs_Abd"
"Case1","Sockeye","Sockeye_CU_A","SpnForAbd_Wild",1996,"RelAbd",4276.43965949339,4958,17838,"Red","Abs_Abd"
"Case1","Sockeye","Sockeye_CU_A","SpnForAbd_Wild",1997,"RelAbd",4273.86592491641,4958,17838,"Red","Abs_Abd"
"Case1","Sockeye","Sockeye_CU_A","SpnForAbd_Wild",1998,"RelAbd",6085.35000598303,4958,17838,"Amber","Abs_Abd"
"Case1","Sockeye","Sockeye_CU_A","SpnForAbd_Wild",1999,"RelAbd",9730.39003975274,4958,17838,"Amber","Abs_Abd"
"Case1","Sockeye","Sockeye_CU_A","SpnForAbd_Wild",2000,"RelAbd",10675.5881636314,4958,17838,"Amber","Abs_Abd"
"Case1","Sockeye","Sockeye_CU_A","SpnForAbd_Wild",2001,"RelAbd",16690.076372768,4958,17838,"Amber","Abs_Abd"
"Case1","Sockeye","Sockeye_CU_A","SpnForAbd_Wild",2002,"RelAbd",21257.8229386682,4958,17838,"Green","Abs_Abd"
"Case1","Sockeye","Sockeye_CU_A","SpnForAbd_Wild",2003,"RelAbd",23192.3934916657,4958,17838,"Green","Abs_Abd"
"Case1","Sockeye","Sockeye_CU_A","SpnForAbd_Wild",2004,"RelAbd",12950.5185734039,4958,17838,"Amber","Abs_Abd"
"Case1","Sockeye","Sockeye_CU_A","SpnForAbd_Wild",2005,"RelAbd",12541.6541532045,4958,17838,"Amber","Abs_Abd"
"Case1","Sockeye","Sockeye_CU_A","SpnForAbd_Wild",2006,"RelAbd",9553.3224345272,4958,17838,"Amber","Abs_Abd"
"Case1","Sockeye","Sockeye_CU_A","SpnForAbd_Wild",2007,"RelAbd",10501.9834978048,4958,17838,"Amber","Abs_Abd"
"Case1","Sockeye","Sockeye_CU_A","SpnForAbd_Wild",2008,"RelAbd",11225.8967190657,4958,17838,"Amber","Abs_Abd"
"Case1","Sockeye","Sockeye_CU_A","SpnForAbd_Wild",2009,"RelAbd",9039.24880576302,4958,17838,"Amber","Abs_Abd"
"Case1","Sockeye","Sockeye_CU_A","SpnForAbd_Wild",2010,"RelAbd",8469.47633211459,4958,17838,"Amber","Abs_Abd"
"Case1","Sockeye","Sockeye_CU_A","SpnForAbd_Wild",2011,"RelAbd",7401.01069646843,4958,17838,"Amber","Abs_Abd"
"Case1","Sockeye","Sockeye_CU_A","SpnForAbd_Wild",2012,"RelAbd",6033.58436282916,4958,17838,"Amber","Abs_Abd"
"Case1","Sockeye","Sockeye_CU_A","SpnForAbd_Wild",2013,"RelAbd",6594.19392595517,4958,17838,"Amber","Abs_Abd"
"Case1","Sockeye","Sockeye_CU_A","SpnForAbd_Wild",2014,"RelAbd",9092.82041134601,4958,17838,"Amber","Abs_Abd"
"Case1","Sockeye","Sockeye_CU_A","SpnForAbd_Wild",2015,"RelAbd",10725.3765563713,4958,17838,"Amber","Abs_Abd"
"Case1","Sockeye","Sockeye_CU_A","SpnForAbd_Wild",2016,"RelAbd",12865.5519250726,4958,17838,"Amber","Abs_Abd"
"Case1","Sockeye","Sockeye_CU_A","SpnForAbd_Wild",2017,"RelAbd",9082.8265160573,4958,17838,"Amber","Abs_Abd"
"Case1","Sockeye","Sockeye_CU_A","SpnForAbd_Wild",2018,"RelAbd",6087.79434530176,4958,17838,"Amber","Abs_Abd"
